Rk;Player;Nation;Pos;Squad;Age;Born;90s;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Att;Succ;Succ%;Tkld;Tkld%;Carries;TotDist;PrgDist;PrgC;01/mar;CPA;Mis;Dis;Rec;PrgR;Matches
1;Nicolás Acevedo;uy URU;MF;Bahia;23;1999;21.9;1476;37;350;945;197;16;1476;31;14;45.2;12;38.7;887;4197;2223;29;23;5;25;18;997;36;Matches
2;Luiz Adriano;br BRA;FW;Internacional;35;1987;14.8;360;20;44;176;144;47;360;6;3;50.0;3;50.0;180;528;126;3;3;1;18;17;250;49;Matches
3;Adriel;br BRA;GK;Grêmio;22;2001;2.0;65;54;65;0;0;0;65;0;0;;0;;23;141;109;0;0;0;0;0;10;0;Matches
4;Adryelson;br BRA;DF;Botafogo (RJ);24;1998;33.3;1895;292;991;876;34;27;1895;0;0;;0;;976;4174;2293;2;3;1;3;1;1140;3;Matches
5;Adson;br BRA;FW,MF;Corinthians;22;2000;9.5;497;7;78;232;198;22;497;42;25;59.5;14;33.3;336;2594;1468;49;33;7;17;5;357;68;Matches
6;Adyson;br BRA;FW,MF;América (MG);17;2005;2.7;176;0;12;61;107;10;176;13;7;53.8;4;30.8;123;898;560;17;14;5;6;9;127;42;Matches
7;Washington Aguerre;uy URU;GK;América (MG);29;1993;2.0;45;40;45;0;0;0;45;0;0;;0;;17;110;85;0;0;0;0;0;6;0;Matches
8;Carlos Alberto;br BRA;FW,MF;Botafogo (RJ);20;2002;3.3;127;4;17;48;66;16;127;17;8;47.1;7;41.2;83;630;302;10;7;2;9;5;83;29;Matches
9;Yuri Alberto;br BRA;FW;Corinthians;21;2001;30.2;911;23;63;420;436;138;911;51;23;45.1;20;39.2;522;2572;959;41;30;20;93;35;702;204;Matches
10;Ale;br BRA;MF;América (MG);32;1990;15.8;1075;43;256;653;182;30;1075;25;16;64.0;8;32.0;682;3840;1829;29;21;2;25;19;691;37;Matches
11;Alexandre Alemão;br BRA;FW;Internacional;24;1998;3.8;136;3;11;64;64;25;136;19;9;47.4;9;47.4;90;468;207;7;7;5;19;4;100;37;Matches
12;Alerrandro;br BRA;FW,MF;Bragantino;23;2000;4.5;115;7;9;44;63;19;115;6;3;50.0;3;50.0;65;198;81;3;3;1;13;3;81;20;Matches
13;Alesson;br BRA;FW,MF;Goiás;23;1999;7.3;305;8;47;104;166;35;305;34;17;50.0;17;50.0;171;1393;591;23;20;9;18;17;196;68;Matches
14;Alex;br BRA;DF;Santos;23;1999;5.1;291;26;150;126;18;9;291;2;2;100.0;0;0.0;191;1084;624;3;1;0;4;2;212;0;Matches
15;Caio Alexandre;br BRA;MF;Fortaleza;23;1999;29.2;2075;42;390;1433;275;25;2075;31;16;51.6;11;35.5;1370;9103;5117;91;41;10;30;35;1521;37;Matches
16;Matheus Alexandre;br BRA;DF;Cuiabá;23;1999;33.1;1868;101;605;909;363;24;1868;38;19;50.0;17;44.7;857;4194;2273;41;23;5;37;20;955;97;Matches
17;Alexsander;br BRA;MF,DF;Fluminense;19;2003;13.3;910;20;194;458;268;17;910;51;27;52.9;19;37.3;571;2898;1607;38;29;4;27;26;645;53;Matches
18;Alison;br BRA;MF;Santos;29;1993;1.5;83;10;28;52;3;0;83;2;1;50.0;1;50.0;38;213;80;3;2;0;4;2;45;1;Matches
19;Alisson;br BRA;MF,DF;Atlético Mineiro;17;2005;0.5;48;0;5;20;26;1;48;7;3;42.9;3;42.9;35;322;161;3;3;0;2;1;34;10;Matches
20;Alisson;br BRA;MF,FW;São Paulo;29;1993;23.9;1552;36;241;878;446;30;1552;40;22;55.0;13;32.5;917;4596;2290;40;43;5;15;33;1137;105;Matches
21;Allan;br BRA;MF;Flamengo;25;1997;5.4;465;7;63;324;82;1;465;4;2;50.0;0;0.0;320;1640;833;10;12;0;2;3;361;6;Matches
22;Allano;br BRA;FW;Goiás;27;1995;13.7;625;18;112;294;231;48;625;45;20;44.4;20;44.4;374;2695;1400;39;33;11;37;21;421;90;Matches
23;Henrique Almeida;br BRA;FW;América (MG);31;1991;1.7;49;1;1;23;25;9;49;5;4;80.0;1;20.0;21;95;40;1;0;0;5;1;26;5;Matches
24;Rodrigo Alves;br BRA;MF;Vasco da Gama;20;2002;3.9;135;10;52;77;6;1;135;0;0;;0;;68;335;146;1;0;0;2;2;76;0;Matches
25;Anderson;br BRA;GK;Cruzeiro;24;1998;1.0;18;14;18;0;0;0;18;0;0;;0;;12;33;29;0;0;0;0;0;11;0;Matches
26;Anderson;br BRA;FW,MF;Goiás;24;1998;14.3;646;6;101;291;274;33;646;68;40;58.8;26;38.2;424;2858;1519;44;39;11;40;40;485;106;Matches
