Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
1;Sat;sábado, 15 de abril de 2023;16:00;América (MG);1.1;0–3;3.1;Fluminense;6,653;Estádio Raimundo Sampaio;Braulio da Silva Machado;Match Report;
1;Sat;sábado, 15 de abril de 2023;16:00;Palmeiras;3.0;2–1;1.0;Cuiabá;35,835;Allianz Parque;Paulo Cesar Zanovelli da Silva;Match Report;
1;Sat;sábado, 15 de abril de 2023;18:30;Bragantino;2.0;2–1;0.7;Bahia;3,368;Estádio Nabi Abi Chedid;Maguielson Lima Barbosa;Match Report;
1;Sat;sábado, 15 de abril de 2023;18:30;Botafogo (RJ);0.9;2–1;2.0;São Paulo;11,708;Estádio Nilton Santos;Ramon Abatti Abel;Match Report;
1;Sat;sábado, 15 de abril de 2023;18:30;Ath Paranaense;0.8;2–0;1.0;Goiás;15,329;Estádio Joaquim Américo Guimarães;Rafael Rodrigo Klein;Match Report;
1;Sat;sábado, 15 de abril de 2023;18:30;Fortaleza;1.5;1–1;0.9;Internacional;30,191;Estádio Castelão;Edina Alves Batista;Match Report;
1;Sun;domingo, 16 de abril de 2023;16:00;Flamengo;1.4;3–0;0.4;Coritiba;42,848;Estadio Jornalista Mário Filho;Rodrigo José Pereira de Lima;Match Report;
1;Sun;domingo, 16 de abril de 2023;16:00;Corinthians;1.5;2–1;0.5;Cruzeiro;41,304;Neo Química Arena;Anderson Daronco;Match Report;
1;Sun;domingo, 16 de abril de 2023;18:30;Grêmio;1.6;1–0;1.2;Santos;13,997;Estádio Alfredo Jaconi;Wilton Sampaio;Match Report;
1;Sat;sábado, 15 de abril de 2023;21:00;Atlético Mineiro;1.5;1–2;1.5;Vasco da Gama;34,98;Estádio Governador Magalhães Pinto;Raphael Claus;Match Report;
2;Sat;sábado, 22 de abril de 2023;16:00;Fluminense;0.8;2–0;0.6;Ath Paranaense;38,598;Estadio Jornalista Mário Filho;Paulo Cesar Zanovelli da Silva;Match Report;
2;Sat;sábado, 22 de abril de 2023;17:30 (18:30);Cuiabá;1.2;1–1;0.9;Bragantino;9,267;Arena Pantanal;Caio Max Augusto Vieira;Match Report;
2;Sat;sábado, 22 de abril de 2023;18:30;São Paulo;2.4;3–0;1.1;América (MG);41,006;Estádio do Morumbi;Wagner do Nascimento Magalhães;Match Report;
2;Sun;domingo, 23 de abril de 2023;11:00;Internacional;1.1;2–1;1.5;Flamengo;45,751;Estádio José Pinheiro Borba;Ramon Abatti Abel;Match Report;
2;Sun;domingo, 23 de abril de 2023;16:00;Vasco da Gama;1.4;2–2;0.7;Palmeiras;59,867;Estádio Club de Regatas Vasco da Gama;Rafael Rodrigo Klein;Match Report;
2;Sun;domingo, 23 de abril de 2023;16:00;Santos;0.8;0–0;1.2;Atlético Mineiro;11,233;Estádio Urbano Caldeira;Braulio da Silva Machado;Match Report;
2;Sun;domingo, 23 de abril de 2023;18:30;Coritiba;0.7;0–3;2.6;Fortaleza;24,423;Estádio Major Antônio Couto Pereira;Wilton Sampaio;Match Report;
2;Sun;domingo, 23 de abril de 2023;19:00;Goiás;1.2;3–1;0.5;Corinthians;8,508;Estádio de Hailé Pinheiro;Bruno Arleu de Araujo;Match Report;
2;Sat;sábado, 22 de abril de 2023;21:00;Cruzeiro;1.5;1–0;0.8;Grêmio;21,605;Estádio Raimundo Sampaio;Flavio Rodrigues de Souza;Match Report;
2;Mon;segunda-feira, 24 de abril de 2023;20:00;Bahia;0.9;1–2;0.2;Botafogo (RJ);27,822;Itaipava Arena Fonte Nova;Raphael Claus;Match Report;
3;Sat;sábado, 29 de abril de 2023;16:30;Coritiba;1.8;1–1;1.1;São Paulo;25,21;Estádio Major Antônio Couto Pereira;Rafael Rodrigo Klein;Match Report;
3;Sat;sábado, 29 de abril de 2023;16:30;Fortaleza;5.3;4–2;1.5;Fluminense;39,943;Estádio Castelão;Raphael Claus;Match Report;
3;Sat;sábado, 29 de abril de 2023;18:30;Bragantino;1.5;0–3;2.0;Cruzeiro;4,829;Estádio Nabi Abi Chedid;Braulio da Silva Machado;Match Report;
3;Sat;sábado, 29 de abril de 2023;18:30;Santos;1.8;3–2;1.8;América (MG);11,844;Estádio Urbano Caldeira;Anderson Daronco;Match Report;
3;Sat;sábado, 29 de abril de 2023;18:30;Palmeiras;1.4;2–1;0.5;Corinthians;41,457;Allianz Parque;Wilton Sampaio;Match Report;
3;Sun;domingo, 30 de abril de 2023;16:00;Flamengo;3.1;2–3;1.9;Botafogo (RJ);53,138;Estadio Jornalista Mário Filho;Edina Alves Batista;Match Report;
3;Sun;domingo, 30 de abril de 2023;17:30 (18:30);Cuiabá;1.2;1–2;1.7;Grêmio;21,385;Arena Pantanal;Bruno Arleu de Araujo;Match Report;
3;Sun;domingo, 30 de abril de 2023;18:30;Internacional;0.9;1–0;0.8;Goiás;29,193;Estádio José Pinheiro Borba;Rodrigo José Pereira de Lima;Match Report;
3;Sat;sábado, 29 de abril de 2023;21:00;Atlético Mineiro;2.0;2–1;0.6;Ath Paranaense;15,037;Estádio Raimundo Sampaio;Ramon Abatti Abel;Match Report;
3;Mon;segunda-feira, 1 de maio de 2023;20:00;Vasco da Gama;0.9;0–1;1.1;Bahia;19,223;Estádio Club de Regatas Vasco da Gama;Flavio Rodrigues de Souza;Match Report;
4;Sat;sábado, 6 de maio de 2023;16:00;Cruzeiro;1.6;2–1;1.0;Santos;21,191;Estádio Raimundo Sampaio;Bruno Arleu de Araujo;Match Report;
4;Sun;domingo, 7 de maio de 2023;11:00;América (MG);1.4;1–2;0.5;Cuiabá;5,228;Estádio Raimundo Sampaio;Denis da Silva Ribeiro Serafim;Match Report;
4;Sun;domingo, 7 de maio de 2023;16:00;Ath Paranaense;1.0;2–1;1.5;Flamengo;32,949;Estádio Joaquim Américo Guimarães;Raphael Claus;Match Report;
4;Sun;domingo, 7 de maio de 2023;16:00;São Paulo;1.9;2–0;0.8;Internacional;46,093;Estádio do Morumbi;Braulio da Silva Machado;Match Report;
4;Sun;domingo, 7 de maio de 2023;16:00;Bahia;1.5;3–1;0.4;Coritiba;37,936;Itaipava Arena Fonte Nova;Bruno Mota Correia;Match Report;
4;Sun;domingo, 7 de maio de 2023;18:30;Botafogo (RJ);2.0;2–0;0.5;Atlético Mineiro;18,218;Estádio Nilton Santos;Flavio Rodrigues de Souza;Match Report;
4;Sun;domingo, 7 de maio de 2023;18:30;Grêmio;1.7;3–3;1.8;Bragantino;23,76;Arena do Grêmio;Paulo Cesar Zanovelli da Silva;Match Report;
4;Sun;domingo, 7 de maio de 2023;18:30;Goiás;0.7;0–5;2.0;Palmeiras;13,789;Estádio de Hailé Pinheiro;Wagner do Nascimento Magalhães;Match Report;
4;Sat;sábado, 6 de maio de 2023;21:00;Fluminense;1.8;1–1;0.7;Vasco da Gama;39,85;Estadio Jornalista Mário Filho;Wilton Sampaio;Match Report;
4;Mon;segunda-feira, 8 de maio de 2023;20:00;Corinthians;1.5;1–1;0.8;Fortaleza;36,512;Neo Química Arena;Ramon Abatti Abel;Match Report;
5;Wed;quarta-feira, 10 de maio de 2023;19:00;Internacional;1.0;0–2;1.5;Ath Paranaense;13,537;Estádio José Pinheiro Borba;Bruno Arleu de Araujo;Match Report;
5;Wed;quarta-feira, 10 de maio de 2023;19:00;Bragantino;1.7;2–2;2.0;América (MG);2,909;Estádio Nabi Abi Chedid;Rafael Rodrigo Klein;Match Report;
5;Wed;quarta-feira, 10 de maio de 2023;19:00 (20:00);Cuiabá;0.2;0–4;2.8;Atlético Mineiro;12,029;Arena Pantanal;Wilton Sampaio;Match Report;
5;Wed;quarta-feira, 10 de maio de 2023;19:00;Santos;2.0;3–0;1.3;Bahia;7,262;Estádio Urbano Caldeira;Wagner do Nascimento Magalhães;Match Report;
5;Wed;quarta-feira, 10 de maio de 2023;20:00;Flamengo;2.6;2–0;0.7;Goiás;44,948;Estadio Jornalista Mário Filho;Savio Pereira;Match Report;
5;Thu;quinta-feira, 11 de maio de 2023;19:00;Coritiba;1.0;1–1;0.8;Vasco da Gama;20,88;Estádio Major Antônio Couto Pereira;Ramon Abatti Abel;Match Report;
5;Thu;quinta-feira, 11 de maio de 2023;19:30;Botafogo (RJ);2.6;3–0;0.6;Corinthians;22,388;Estádio Nilton Santos;Anderson Daronco;Match Report;
5;Thu;quinta-feira, 11 de maio de 2023;20:00;Fortaleza;0.8;0–0;0.8;São Paulo;37,775;Estádio Castelão;Paulo Cesar Zanovelli da Silva;Match Report;
5;Wed;quarta-feira, 10 de maio de 2023;21:30;Palmeiras;3.8;4–1;0.1;Grêmio;37,532;Allianz Parque;Braulio da Silva Machado;Match Report;
5;Wed;quarta-feira, 10 de maio de 2023;21:30;Cruzeiro;2.1;0–2;1.2;Fluminense;51,846;Estádio Governador Magalhães Pinto;Flavio de Souza;Match Report;
6;Sat;sábado, 13 de maio de 2023;16:00;Bahia;1.4;2–3;2.2;Flamengo;48,502;Itaipava Arena Fonte Nova;Paulo Cesar Zanovelli da Silva;Match Report;
6;Sat;sábado, 13 de maio de 2023;18:30;Fluminense;0.9;2–0;0.9;Cuiabá;39,04;Estadio Jornalista Mário Filho;Edina Alves Batista;Match Report;
6;Sat;sábado, 13 de maio de 2023;18:30;Palmeiras;1.6;1–1;1.0;Bragantino;39,488;Allianz Parque;Savio Pereira;Match Report;
6;Sun;domingo, 14 de maio de 2023;16:00;Grêmio;0.8;0–0;0.6;Fortaleza;17,396;Arena do Grêmio;Bruno Mota Correia;Match Report;
6;Sun;domingo, 14 de maio de 2023;16:00;Vasco da Gama;1.7;0–1;0.6;Santos;18,476;Estádio Club de Regatas Vasco da Gama;Rodrigo José Pereira de Lima;Match Report;
6;Sun;domingo, 14 de maio de 2023;16:00;Corinthians;0.9;1–1;0.9;São Paulo;41,118;Neo Química Arena;Bruno Arleu de Araujo;Match Report;
6;Sun;domingo, 14 de maio de 2023;18:30;Ath Paranaense;2.9;3–2;0.4;Coritiba;17,608;Estádio Joaquim Américo Guimarães;Flavio Rodrigues de Souza;Match Report;
6;Sun;domingo, 14 de maio de 2023;18:30;América (MG);1.3;0–4;2.6;Cruzeiro;4,295;Estádio Raimundo Sampaio;Wilton Sampaio;Match Report;
6;Sun;domingo, 14 de maio de 2023;18:30;Goiás;1.9;2–1;1.5;Botafogo (RJ);6,674;Estádio de Hailé Pinheiro;Rafael Rodrigo Klein;Match Report;
6;Sat;sábado, 13 de maio de 2023;21:00;Atlético Mineiro;2.0;2–0;0.3;Internacional;36,08;Estádio Club de Regatas Vasco da Gama;Raphael Claus;Match Report;
7;Sat;sábado, 20 de maio de 2023;16:00;Bahia;2.3;1–1;0.9;Goiás;32,519;Itaipava Arena Fonte Nova;Denis da Silva Ribeiro Serafim;Match Report;
7;Sat;sábado, 20 de maio de 2023;18:30;Bragantino;1.7;2–0;1.1;Ath Paranaense;3,769;Estádio Nabi Abi Chedid;Felipe Fernandes de Lima;Match Report;
7;Sat;sábado, 20 de maio de 2023;18:30;Coritiba;1.0;1–2;1.5;Atlético Mineiro;20,047;Estádio Major Antônio Couto Pereira;Rodrigo José Pereira de Lima;Match Report;
7;Sat;sábado, 20 de maio de 2023;18:30;Botafogo (RJ);1.4;1–0;0.9;Fluminense;24,732;Estádio Nilton Santos;Braulio da Silva Machado;Match Report;
7;Sat;sábado, 20 de maio de 2023;18:30;América (MG);0.8;2–1;1.2;Fortaleza;2,488;Estádio Raimundo Sampaio;Luiz Flávio de Oliveira;Match Report;
7;Sat;sábado, 20 de maio de 2023;18:30;São Paulo;2.3;4–2;1.1;Vasco da Gama;57,399;Estádio do Morumbi;Leandro Pedro Vuaden;Match Report;
7;Sun;domingo, 21 de maio de 2023;16:00;Flamengo;0.6;1–0;1.2;Corinthians;64,871;Estadio Jornalista Mário Filho;Rafael Rodrigo Klein;Match Report;
7;Sun;domingo, 21 de maio de 2023;18:30;Grêmio;1.7;3–1;1.5;Internacional;39,438;Arena do Grêmio;Flavio Rodrigues de Souza;Match Report;
7;Sat;sábado, 20 de maio de 2023;21:00;Santos;0.4;0–0;0.4;Palmeiras;12,641;Estádio Urbano Caldeira;Raphael Claus;Match Report;
7;Mon;segunda-feira, 22 de maio de 2023;20:00;Cruzeiro;1.2;0–1;1.2;Cuiabá;15,722;Estádio Joaquim Henrique Nogueirão;Savio Pereira;Match Report;
8;Sat;sábado, 27 de maio de 2023;16:00;Fortaleza;1.5;2–0;0.7;Vasco da Gama;37,625;Estádio Castelão;Edina Alves Batista;Match Report;
8;Sat;sábado, 27 de maio de 2023;16:00;Ath Paranaense;1.3;1–2;0.7;Grêmio;25,966;Estádio Joaquim Américo Guimarães;Savio Pereira;Match Report;
8;Sat;sábado, 27 de maio de 2023;17:30 (18:30);Cuiabá;0.7;1–1;1.0;Coritiba;8,66;Arena Pantanal;Denis da Silva Ribeiro Serafim;Match Report;
8;Sat;sábado, 27 de maio de 2023;18:30;Flamengo;2.0;1–1;1.2;Cruzeiro;65,27;Estadio Jornalista Mário Filho;Luiz Flávio de Oliveira;Match Report;
8;Sun;domingo, 28 de maio de 2023;16:00;Corinthians;1.4;2–0;1.3;Fluminense;34,624;Neo Química Arena;Leandro Pedro Vuaden;Match Report;
8;Sun;domingo, 28 de maio de 2023;16:00;Internacional;0.9;2–0;1.1;Bahia;19,037;Estádio José Pinheiro Borba;Wagner do Nascimento Magalhães;Match Report;
8;Sun;domingo, 28 de maio de 2023;18:30;Bragantino;1.5;2–0;0.3;Santos;5,988;Estádio Nabi Abi Chedid;Anderson Daronco;Match Report;
8;Sun;domingo, 28 de maio de 2023;18:30;Atlético Mineiro;0.8;1–1;1.1;Palmeiras;53,236;Estádio Governador Magalhães Pinto;Braulio da Silva Machado;Match Report;
8;Sun;domingo, 28 de maio de 2023;19:00;Botafogo (RJ);2.1;2–0;0.4;América (MG);23,708;Estádio Nilton Santos;Raphael Claus;Match Report;
8;Sat;sábado, 27 de maio de 2023;21:00;São Paulo;0.9;2–1;0.3;Goiás;45,429;Estádio do Morumbi;Rafael Rodrigo Klein;Match Report;
9;Sat;sábado, 3 de junho de 2023;16:00;Fortaleza;0.6;0–0;0.3;Bahia;38,338;Estádio Castelão;João Vitor Gobi;Match Report;
9;Sat;sábado, 3 de junho de 2023;18:30;Cruzeiro;1.8;0–1;0.6;Atlético Mineiro;34,344;Estádio Municipal João Havelange;Savio Pereira;Match Report;
9;Sat;sábado, 3 de junho de 2023;18:30;Ath Paranaense;0.9;1–0;0.6;Botafogo (RJ);18,684;Estádio Joaquim Américo Guimarães;Vinicius Gonçalves Dias Araujo;Match Report;
9;Sat;sábado, 3 de junho de 2023;18:30;América (MG);1.4;2–0;1.2;Corinthians;6,701;Estádio Raimundo Sampaio;Anderson Daronco;Match Report;
9;Sun;domingo, 4 de junho de 2023;16:00;Fluminense;1.1;2–1;0.6;Bragantino;27,228;Estadio Jornalista Mário Filho;Rodrigo José Pereira de Lima;Match Report;
9;Sun;domingo, 4 de junho de 2023;16:00;Grêmio;1.9;2–1;1.1;São Paulo;42,207;Arena do Grêmio;Wilton Sampaio;Match Report;
9;Sun;domingo, 4 de junho de 2023;18:30;Goiás;0.4;0–1;1.2;Cuiabá;6,987;Estádio de Hailé Pinheiro;Marcelo de Lima Henrique;Match Report;
9;Sun;domingo, 4 de junho de 2023;18:30;Palmeiras;2.5;3–1;0.6;Coritiba;33,57;Allianz Parque;Felipe Fernandes de Lima;Match Report;
9;Sat;sábado, 3 de junho de 2023;21:00;Santos;1.4;1–1;1.1;Internacional;9,6;Estádio Urbano Caldeira;Paulo Cesar Zanovelli da Silva;Match Report;
9;Mon;segunda-feira, 5 de junho de 2023;20:00;Vasco da Gama;1.5;1–4;1.1;Flamengo;46,423;Estadio Jornalista Mário Filho;Braulio Machado;Match Report;
10;Sat;sábado, 10 de junho de 2023;16:00;Coritiba;1.2;0–0;0.8;Santos;25,987;Estádio Major Antônio Couto Pereira;Bruno Mota Correia;Match Report;
10;Sat;sábado, 10 de junho de 2023;18:30;Bahia;1.4;2–2;2.4;Cruzeiro;34,019;Itaipava Arena Fonte Nova;Rodrigo José Pereira de Lima;Match Report;
10;Sat;sábado, 10 de junho de 2023;18:30;Atlético Mineiro;1.7;1–1;0.5;Bragantino;28,786;Estádio Governador Magalhães Pinto;Rafael Rodrigo Klein;Match Report;
10;Sat;sábado, 10 de junho de 2023;18:30;Corinthians;1.4;1–1;0.7;Cuiabá;40,512;Neo Química Arena;André Luiz Skettino Policarpo Bento;Match Report;
10;Sun;domingo, 11 de junho de 2023;11:00;América (MG);1.9;2–2;0.8;Ath Paranaense;5,902;Estádio Governador Magalhães Pinto;João Vitor Gobi;Match Report;
10;Sun;domingo, 11 de junho de 2023;16:00;Internacional;1.6;2–1;0.9;Vasco da Gama;18,044;Estádio José Pinheiro Borba;Edina Alves Batista;Match Report;
10;Sun;domingo, 11 de junho de 2023;16:00;São Paulo;1.4;0–2;0.7;Palmeiras;56,871;Estádio do Morumbi;Raphael Claus;Match Report;
10;Sun;domingo, 11 de junho de 2023;18:30;Flamengo;1.9;3–0;2.0;Grêmio;62,967;Estadio Jornalista Mário Filho;Savio Pereira;Match Report;
10;Sun;domingo, 11 de junho de 2023;18:30;Goiás;2.1;2–2;1.3;Fluminense;10,26;Estádio de Hailé Pinheiro;Leandro Pedro Vuaden;Match Report;
10;Sat;sábado, 10 de junho de 2023;21:00;Botafogo (RJ);3.7;2–0;0.4;Fortaleza;19,297;Estádio Nilton Santos;Wilton Sampaio;Match Report;
11;Wed;quarta-feira, 21 de junho de 2023;19:00;São Paulo;0.6;2–1;1.2;Ath Paranaense;22,882;Estádio do Morumbi;Savio Pereira;Match Report;
11;Wed;quarta-feira, 21 de junho de 2023;19:00;Cruzeiro;1.1;0–1;1.8;Fortaleza;28,494;Estádio Governador Magalhães Pinto;Bruno Arleu de Araujo;Match Report;
11;Wed;quarta-feira, 21 de junho de 2023;20:00;Santos;0.8;0–2;1.3;Corinthians;12,499;Estádio Urbano Caldeira;Leandro Pedro Vuaden;Match Report;
11;Thu;quinta-feira, 22 de junho de 2023;19:00;Grêmio;2.4;3–1;0.8;América (MG);15,864;Arena do Grêmio;Edina Alves Batista;Match Report;
11;Thu;quinta-feira, 22 de junho de 2023;19:00 (20:00);Cuiabá;1.1;0–1;1.2;Botafogo (RJ);13,981;Arena Pantanal;Flavio Rodrigues de Souza;Match Report;
11;Thu;quinta-feira, 22 de junho de 2023;20:00;Vasco da Gama;1.7;0–1;0.4;Goiás;17,647;Estádio Club de Regatas Vasco da Gama;Jean Pierre Goncalves Lima;Match Report;
11;Thu;quinta-feira, 22 de junho de 2023;20:00;Coritiba;1.5;0–1;0.9;Internacional;25,983;Estádio Major Antônio Couto Pereira;André Luiz Skettino Policarpo Bento;Match Report;
11;Wed;quarta-feira, 21 de junho de 2023;21:30;Bahia;1.1;1–0;0.8;Palmeiras;31,013;Itaipava Arena Fonte Nova;Wilton Sampaio;Match Report;
11;Wed;quarta-feira, 21 de junho de 2023;21:30;Fluminense;0.4;1–1;1.4;Atlético Mineiro;7,788;Estádio General Sílvio Raulino de Olivei...;Ramon Abatti Abel;Match Report;
11;Thu;quinta-feira, 22 de junho de 2023;21:30;Bragantino;3.3;4–0;0.8;Flamengo;10,103;Estádio Nabi Abi Chedid;Anderson Daronco;Match Report;
12;Sat;sábado, 24 de junho de 2023;16:00;Ath Paranaense;2.7;1–0;0.9;Corinthians;30,144;Estádio Joaquim Américo Guimarães;Wagner do Nascimento Magalhães;Match Report;
12;Sat;sábado, 24 de junho de 2023;18:30;Fluminense;3.0;2–1;1.0;Bahia;24,507;Estadio Jornalista Mário Filho;Savio Pereira;Match Report;
12;Sat;sábado, 24 de junho de 2023;18:30;Fortaleza;0.8;2–1;1.0;Atlético Mineiro;27,109;Estádio Castelão;Leandro Pedro Vuaden;Match Report;
12;Sun;domingo, 25 de junho de 2023;16:00;Grêmio;3.4;5–1;1.1;Coritiba;37,048;Arena do Grêmio;João Vitor Gobi;Match Report;
12;Sun;domingo, 25 de junho de 2023;16:00;Palmeiras;2.6;0–1;0.8;Botafogo (RJ);38,877;Allianz Parque;Anderson Daronco;Match Report;
12;Sun;domingo, 25 de junho de 2023;18:30;Bragantino;1.7;2–0;0.2;Goiás;3,798;Estádio Nabi Abi Chedid;Bruno Mota Correia;Match Report;
12;Sun;domingo, 25 de junho de 2023;18:30;América (MG);1.3;1–2;1.0;Internacional;2,249;Estádio Raimundo Sampaio;Flavio Rodrigues de Souza;Match Report;
12;Sun;domingo, 25 de junho de 2023;18:30;Santos;1.8;2–3;0.8;Flamengo;;Estádio Urbano Caldeira;Wilton Sampaio;Match Report;
12;Sat;sábado, 24 de junho de 2023;21:00;Cruzeiro;0.5;1–0;1.4;São Paulo;17,478;Estádio Governador Magalhães Pinto;Ramon Abatti;Match Report;
